Date,Start of the Month,Year,Quarter,Year-Quarter,Month,Month Name,Week of Year,Week of Month,Day Name,Day Type,Short Year,Mon-Year,Day,Day of week,Month day,Day of Year
2020-07-01 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,27,1,Wed,Weekday,20,Jul-20,1,3,Jul 1,183
2020-07-02 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,27,1,Thu,Weekday,20,Jul-20,2,4,Jul 2,184
2020-07-03 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,27,1,Fri,Weekday,20,Jul-20,3,5,Jul 3,185
2020-07-06 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,28,2,Mon,Weekday,20,Jul-20,6,1,Jul 6,188
2020-07-07 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,28,2,Tue,Weekday,20,Jul-20,7,2,Jul 7,189
2020-07-08 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,28,2,Wed,Weekday,20,Jul-20,8,3,Jul 8,190
2020-07-09 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,28,2,Thu,Weekday,20,Jul-20,9,4,Jul 9,191
2020-07-10 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,28,2,Fri,Weekday,20,Jul-20,10,5,Jul 10,192
2020-07-13 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,29,3,Mon,Weekday,20,Jul-20,13,1,Jul 13,195
2020-07-14 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,29,3,Tue,Weekday,20,Jul-20,14,2,Jul 14,196
2020-07-15 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,29,3,Wed,Weekday,20,Jul-20,15,3,Jul 15,197
2020-07-16 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,29,3,Thu,Weekday,20,Jul-20,16,4,Jul 16,198
2020-07-17 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,29,3,Fri,Weekday,20,Jul-20,17,5,Jul 17,199
2020-07-20 00:00:00.000,2020-07-01 00:00:00.000,2020,Q3,2020-Q3,7,Jul,30,4,Mon,Weekday,20,Jul-20,20,1,Jul 20,202
